Land Cover Typology,Pixel Value,Color Code
aquaculture,1,29B6F6
barren,2,CCCCCC
cropland,3,F2E527
cropPlantation,4,F4CCCC
deciduous,5,70A800
evergreen,6,267300
floodedForest,7,B4D79E
forestPlantation,8,C49963
grass,9,D7C29E
mangrove,10,FF7FBF
otherForest,11,AA66CD
palm,12,F5F57A
rice,13,FFFFBE
rubber,14,AAFF00
shrub,15,89CD66
urban,16,E600A9
water,17,004DA8
wetland,18,91E5A5
snow,19,F4F4F4
